SERVER,EBIZCOMPONENT,WAS,JBOSS,APACHE,SITEMINDER
APSRP0163,Yes ,Yes ,No ,Yes ,Yes
APSRP0164,Yes ,Yes ,No ,Yes ,Yes
APSRP0165,Yes ,No ,No ,Yes ,Yes
APSRP0166,Yes ,Yes ,No ,Yes ,Yes
APSRP0189,No,No,No,No,No
APSRP0552,Yes ,Yes ,No ,Yes ,No
APSRP0553,Yes ,Yes ,No ,No ,No
APSRP0558,No,No,No,No,No
APSRP0559,No,No,No,No,No
APSRP0560,Yes ,Yes ,No ,Yes ,No
APSRP0561,Yes ,Yes ,No ,Yes ,No
APSRP0562,Yes ,Yes ,No ,Yes ,No
APSRP0686,No,No,No,No,No
APSRP0687,No,No,No,No,No
APSRP0688,No,No,No,No,No
APSRP0689,No,No,No,No,No
APSRP0690,No,No,No,No,No
APSRP0691,No,No,No,No,No
APSRP0725,No,No,No,No,No
APSRP0726,No,No,No,No,No
APSRP0763,No,No,No,No,No
APSRP0764,No,No,No,No,No
APSRP0765,No,No,No,No,No
APSRP0766,No,No,No,No,No
APSRP0870,No,No,No,No,No
APSRP1053,No ,No ,No ,No ,No
APSRP1054,No ,No ,No ,No ,No
APSRP1056,Yes ,Yes ,No ,Yes ,Yes
APSRP1057,Yes ,Yes ,No ,Yes ,Yes
APSRP1058,Yes ,Yes ,No ,Yes ,Yes
APSRP1059,Yes ,Yes ,No ,Yes ,Yes
ETLRP0009,No,No,No,No,No
ETLRP0010,No,No,No,No,No
ETLRP0011,No,No,No,No,No
ETLRP0012,No,No,No,No,No
APSR0047,Yes ,No ,Yes ,No ,No
APSR0051,No ,No ,No ,No ,No
APSRP0046,No,No,No,No,No
APSRP0047,No,No,No,No,No
APSRP0048,No,No,No,No,No
APSRP0104,No,No,No,No,No
APSRP0105,No,No,No,No,No
APSRP0113,Yes ,Yes ,No ,Yes ,No
APSRP0116,Yes ,Yes ,No ,Yes ,Yes
APSRP0117,Yes ,Yes ,No ,Yes ,Yes
APSRP0118,Yes ,Yes ,No ,Yes ,Yes
APSRP0119,Yes ,Yes ,No ,Yes ,Yes
APSRP0191,No,No,No,No,No
APSRP0285,Yes ,Yes ,No ,Yes ,No
APSRP0286,Yes ,Yes ,No ,Yes ,No
APSRP0287,Yes ,Yes ,No ,Yes ,No
